pregunta,respuesta,categoria,nivel_alerta
que tal hoy,estoy aqui para escucharte,saludo,bajo
buenos dias ultimamente,estoy aqui para escucharte,saludo,bajo
hay conflictos en mi hogar,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
no quiero vivir en el colegio,es importante hablar inmediatamente con psicologia,emergencia,critico
me preocupo demasiado,puedes acudir al area psicologica,ansiedad,medio
tengo ansiedad en el colegio,hablar con alguien puede ayudarte,ansiedad,medio
me siento desanimado en el colegio,no estas solo puedes hablar conmigo,emocional_leve,bajo
tengo muchas tareas ahora,puedes pedir ayuda a tus profesores,estres_academico,medio
buenas noches,puedes contar conmigo,saludo,bajo
quiero desaparecer,es importante hablar inmediatamente con psicologia,emergencia,critico
mis padres discuten mucho,no tienes que enfrentar esto solo,problemas_familiares,medio
me siento nervioso ahora,puedes acudir al area psicologica,ansiedad,medio
quiero desaparecer en el colegio,es importante hablar inmediatamente con psicologia,emergencia,critico
necesito ayuda profesional en mi casa,el area psicologica puede ayudarte,apoyo_psicologico,alto
buenos dias en mi casa,estoy aqui para escucharte,saludo,bajo
siento miedo sin razon hoy,puedes acudir al area psicologica,ansiedad,medio
todo me sale mal en mi casa,seria bueno hablar con el area psicologica,emocional_moderado,medio
necesito ayuda profesional en mi casa,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
buenos dias ultimamente,en que puedo ayudarte hoy,saludo,bajo
no quiero estudiar ahora,puedes comenzar con pequeñas metas,motivacion,medio
necesito ayuda profesional hoy,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
quiero rendirme ultimamente,no estas solo puedes recibir apoyo,motivacion,medio
no quiero vivir hoy,busca ayuda urgente con un adulto de confianza,emergencia,critico
me siento nervioso ahora,puedes intentar respirar profundamente,ansiedad,medio
no me siento bien en mi familia,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
buenas noches ultimamente,en que puedo ayudarte hoy,saludo,bajo
no estoy bien hoy en el colegio,hablar puede ayudarte mucho,emocional_leve,bajo
me siento presionado por el colegio ahora,puedes pedir ayuda a tus profesores,estres_academico,medio
tengo ansiedad en mi casa,hablar con alguien puede ayudarte,ansiedad,medio
quiero hacerme daño ahora,busca ayuda urgente con un adulto de confianza,emergencia,critico
hola chatbot,hola estoy aqui para ayudarte,saludo,bajo
no quiero ir al colegio en mi casa,puedes comenzar con pequeñas metas,motivacion,medio
quiero apoyo emocional,el area psicologica puede ayudarte,apoyo_psicologico,alto
quiero desaparecer ahora,busca ayuda urgente con un adulto de confianza,emergencia,critico
tengo miedo de reprobar,puedes pedir ayuda a tus profesores,estres_academico,medio
quiero hacerme daño ahora,es importante hablar inmediatamente con psicologia,emergencia,critico
siento miedo sin razon hoy,puedes acudir al area psicologica,ansiedad,medio
me siento desanimado ahora,no estas solo puedes hablar conmigo,emocional_leve,bajo
no quiero estudiar ultimamente,puedes comenzar con pequeñas metas,motivacion,medio
buenas tardes en mi casa,puedes contar conmigo,saludo,bajo
tengo muchos examenes ahora,podemos buscar soluciones juntos,estres_academico,medio
todo me sale mal hoy,puedes buscar apoyo emocional,emocional_moderado,medio
necesito ayuda profesional hoy,el area psicologica puede ayudarte,apoyo_psicologico,alto
quiero desaparecer,busca ayuda urgente con un adulto de confianza,emergencia,critico
quiero hacerme daño ahora,es importante hablar inmediatamente con psicologia,emergencia,critico
quiero desaparecer en mi casa,busca ayuda urgente con un adulto de confianza,emergencia,critico
no quiero ir al colegio,puedes comenzar con pequeñas metas,motivacion,medio
no quiero ir al colegio en el colegio,no estas solo puedes recibir apoyo,motivacion,medio
no quiero hablar con nadie hoy,seria bueno hablar con el area psicologica,emocional_moderado,medio
no entiendo mis materias,puedes organizar mejor tu tiempo,estres_academico,medio
tengo muchos examenes ultimamente,puedes organizar mejor tu tiempo,estres_academico,medio
buenas tardes en mi casa,en que puedo ayudarte hoy,saludo,bajo
quiero desaparecer,es importante hablar inmediatamente con psicologia,emergencia,critico
no quiero estudiar hoy,no estas solo puedes recibir apoyo,motivacion,medio
me siento desanimado en mi casa,hablar puede ayudarte mucho,emocional_leve,bajo
tengo miedo de reprobar,podemos buscar soluciones juntos,estres_academico,medio
tengo ansiedad ultimamente,puedes intentar respirar profundamente,ansiedad,medio
no tengo motivacion en el colegio,podemos buscar soluciones juntos,motivacion,medio
no quiero ir al colegio en el colegio,puedes comenzar con pequeñas metas,motivacion,medio
quiero rendirme ultimamente,puedes comenzar con pequeñas metas,motivacion,medio
mis padres discuten mucho ultimamente,no tienes que enfrentar esto solo,problemas_familiares,medio
me siento solo,quieres contarme un poco mas,emocional_leve,bajo
me preocupo demasiado en el colegio,puedes intentar respirar profundamente,ansiedad,medio
quiero apoyo emocional ahora,el area psicologica puede ayudarte,apoyo_psicologico,alto
tengo ansiedad ultimamente,puedes intentar respirar profundamente,ansiedad,medio
me siento raro,hablar puede ayudarte mucho,emocional_leve,bajo
ando sin animos hoy,quieres contarme un poco mas,emocional_leve,bajo
no quiero hablar con nadie hoy,puedes buscar apoyo emocional,emocional_moderado,medio
me siento muy mal hoy,seria bueno hablar con el area psicologica,emocional_moderado,medio
me siento nervioso,puedes intentar respirar profundamente,ansiedad,medio
me siento presionado por el colegio ultimamente,puedes organizar mejor tu tiempo,estres_academico,medio
quiero rendirme,puedes comenzar con pequeñas metas,motivacion,medio
no estoy bien hoy en mi casa,puedes contarme que paso,emocional_leve,bajo
me siento muy mal ahora,puedes buscar apoyo emocional,emocional_moderado,medio
no entiendo mis materias hoy,puedes pedir ayuda a tus profesores,estres_academico,medio
tengo ansiedad,puedes acudir al area psicologica,ansiedad,medio
buenos dias ahora,estoy aqui para escucharte,saludo,bajo
tengo ansiedad,puedes intentar respirar profundamente,ansiedad,medio
quiero desaparecer,es importante hablar inmediatamente con psicologia,emergencia,critico
mis padres discuten mucho hoy,no tienes que enfrentar esto solo,problemas_familiares,medio
como estas en el colegio,en que puedo ayudarte hoy,saludo,bajo
no quiero estudiar ahora,podemos buscar soluciones juntos,motivacion,medio
no quiero hablar con nadie,no tienes que pasar por esto solo,emocional_moderado,medio
no me siento bien en mi familia ahora,no tienes que enfrentar esto solo,problemas_familiares,medio
como estas ahora,hola estoy aqui para ayudarte,saludo,bajo
tengo problemas en mi casa ultimamente,no tienes que enfrentar esto solo,problemas_familiares,medio
todo me sale mal ahora,puedes buscar apoyo emocional,emocional_moderado,medio
ando sin animos en el colegio,no estas solo puedes hablar conmigo,emocional_leve,bajo
quiero rendirme hoy,puedes comenzar con pequeñas metas,motivacion,medio
siento miedo sin razon ultimamente,hablar con alguien puede ayudarte,ansiedad,medio
quiero hacerme daño hoy,busca ayuda urgente con un adulto de confianza,emergencia,critico
buenos dias en mi casa,hola estoy aqui para ayudarte,saludo,bajo
no tengo ganas de hacer nada ahora,seria bueno hablar con el area psicologica,emocional_moderado,medio
me siento solo en mi casa,puedes contarme que paso,emocional_leve,bajo
tengo problemas en mi casa,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
buenos dias ahora,puedes contar conmigo,saludo,bajo
hay conflictos en mi hogar,no tienes que enfrentar esto solo,problemas_familiares,medio
tengo problemas en mi casa en mi casa,no tienes que enfrentar esto solo,problemas_familiares,medio
me siento desanimado ahora,hablar puede ayudarte mucho,emocional_leve,bajo
quiero hablar con psicologia,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
me siento raro,quieres contarme un poco mas,emocional_leve,bajo
no quiero estudiar en mi casa,puedes comenzar con pequeñas metas,motivacion,medio
no quiero hablar con nadie,puedes buscar apoyo emocional,emocional_moderado,medio
no entiendo mis materias,puedes pedir ayuda a tus profesores,estres_academico,medio
me siento muy mal hoy,no tienes que pasar por esto solo,emocional_moderado,medio
hay conflictos en mi hogar hoy,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
tengo problemas en mi casa,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
no quiero estudiar en el colegio,puedes comenzar con pequeñas metas,motivacion,medio
quiero hacerme daño hoy,busca ayuda urgente con un adulto de confianza,emergencia,critico
no me siento bien en mi familia,no tienes que enfrentar esto solo,problemas_familiares,medio
me siento vacio ahora,seria bueno hablar con el area psicologica,emocional_moderado,medio
no tengo motivacion ultimamente,puedes comenzar con pequeñas metas,motivacion,medio
quiero rendirme hoy,puedes comenzar con pequeñas metas,motivacion,medio
buenas noches hoy,hola estoy aqui para ayudarte,saludo,bajo
quiero apoyo emocional hoy,el area psicologica puede ayudarte,apoyo_psicologico,alto
no quiero estudiar,puedes comenzar con pequeñas metas,motivacion,medio
no estoy bien hoy,hablar puede ayudarte mucho,emocional_leve,bajo
hola chatbot en mi casa,hola estoy aqui para ayudarte,saludo,bajo
todo me sale mal,no tienes que pasar por esto solo,emocional_moderado,medio
como estas ultimamente,estoy aqui para escucharte,saludo,bajo
no quiero estudiar en mi casa,puedes comenzar con pequeñas metas,motivacion,medio
no quiero ir al colegio en mi casa,podemos buscar soluciones juntos,motivacion,medio
me siento triste,no estas solo puedes hablar conmigo,emocional_leve,bajo
no tengo ganas de hacer nada en mi casa,no tienes que pasar por esto solo,emocional_moderado,medio
no me siento bien en mi familia en el colegio,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
no me siento bien en mi familia ultimamente,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
quiero hacerme daño en mi casa,es importante hablar inmediatamente con psicologia,emergencia,critico
buenas noches en el colegio,puedes contar conmigo,saludo,bajo
quiero hacerme daño en mi casa,es importante hablar inmediatamente con psicologia,emergencia,critico
quiero apoyo emocional hoy,el area psicologica puede ayudarte,apoyo_psicologico,alto
buenos dias ahora,estoy aqui para escucharte,saludo,bajo
no puedo dormir en el colegio,puedes acudir al area psicologica,ansiedad,medio
tengo ansiedad hoy,puedes intentar respirar profundamente,ansiedad,medio
me siento nervioso en el colegio,puedes intentar respirar profundamente,ansiedad,medio
necesito ayuda profesional ultimamente,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
ando sin animos en el colegio,puedes contarme que paso,emocional_leve,bajo
tengo miedo de reprobar ultimamente,puedes organizar mejor tu tiempo,estres_academico,medio
quiero hacerme daño en mi casa,es importante hablar inmediatamente con psicologia,emergencia,critico
quiero apoyo emocional hoy,el area psicologica puede ayudarte,apoyo_psicologico,alto
no puedo dormir en el colegio,puedes acudir al area psicologica,ansiedad,medio
no quiero estudiar ahora,podemos buscar soluciones juntos,motivacion,medio
quiero hablar con psicologia hoy,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
que tal en el colegio,puedes contar conmigo,saludo,bajo
me siento nervioso hoy,puedes intentar respirar profundamente,ansiedad,medio
no quiero hablar con nadie en mi casa,seria bueno hablar con el area psicologica,emocional_moderado,medio
quiero desaparecer en el colegio,es importante hablar inmediatamente con psicologia,emergencia,critico
quiero apoyo emocional en mi casa,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
quiero hablar con psicologia ahora,el area psicologica puede ayudarte,apoyo_psicologico,alto
quiero hacerme daño ultimamente,es importante hablar inmediatamente con psicologia,emergencia,critico
no estoy bien hoy en mi casa,quieres contarme un poco mas,emocional_leve,bajo
no quiero estudiar,podemos buscar soluciones juntos,motivacion,medio
no quiero ir al colegio en mi casa,puedes comenzar con pequeñas metas,motivacion,medio
siento miedo sin razon ultimamente,puedes intentar respirar profundamente,ansiedad,medio
me siento triste en mi casa,hablar puede ayudarte mucho,emocional_leve,bajo
no puedo dormir hoy,puedes acudir al area psicologica,ansiedad,medio
quiero hacerme daño en mi casa,busca ayuda urgente con un adulto de confianza,emergencia,critico
tengo ansiedad,puedes intentar respirar profundamente,ansiedad,medio
no quiero hablar con nadie hoy,no tienes que pasar por esto solo,emocional_moderado,medio
necesito ayuda profesional en mi casa,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
tengo ansiedad ahora,hablar con alguien puede ayudarte,ansiedad,medio
no quiero vivir en mi casa,es importante hablar inmediatamente con psicologia,emergencia,critico
tengo ansiedad,puedes intentar respirar profundamente,ansiedad,medio
quiero desaparecer en el colegio,es importante hablar inmediatamente con psicologia,emergencia,critico
quiero apoyo emocional ultimamente,el area psicologica puede ayudarte,apoyo_psicologico,alto
quiero hablar con psicologia hoy,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
tengo ansiedad ahora,puedes acudir al area psicologica,ansiedad,medio
no quiero ir al colegio,no estas solo puedes recibir apoyo,motivacion,medio
me siento desanimado en el colegio,quieres contarme un poco mas,emocional_leve,bajo
me siento solo ahora,puedes contarme que paso,emocional_leve,bajo
me siento desanimado hoy,no estas solo puedes hablar conmigo,emocional_leve,bajo
me siento triste ultimamente,quieres contarme un poco mas,emocional_leve,bajo
no quiero ir al colegio en mi casa,puedes comenzar con pequeñas metas,motivacion,medio
quiero rendirme,no estas solo puedes recibir apoyo,motivacion,medio
no quiero vivir ultimamente,busca ayuda urgente con un adulto de confianza,emergencia,critico
no puedo dormir,hablar con alguien puede ayudarte,ansiedad,medio
me siento muy mal,puedes buscar apoyo emocional,emocional_moderado,medio
no quiero estudiar,puedes comenzar con pequeñas metas,motivacion,medio
no me siento bien en mi familia en mi casa,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
me siento vacio en el colegio,puedes buscar apoyo emocional,emocional_moderado,medio
tengo ansiedad en el colegio,puedes intentar respirar profundamente,ansiedad,medio
quiero hablar con psicologia hoy,el area psicologica puede ayudarte,apoyo_psicologico,alto
me siento presionado por el colegio en el colegio,puedes organizar mejor tu tiempo,estres_academico,medio
mis padres discuten mucho hoy,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
necesito ayuda profesional ultimamente,el area psicologica puede ayudarte,apoyo_psicologico,alto
necesito ayuda profesional ultimamente,el area psicologica puede ayudarte,apoyo_psicologico,alto
ando sin animos ultimamente,quieres contarme un poco mas,emocional_leve,bajo
me siento raro ahora,quieres contarme un poco mas,emocional_leve,bajo
quiero desaparecer hoy,es importante hablar inmediatamente con psicologia,emergencia,critico
no quiero hablar con nadie en el colegio,puedes buscar apoyo emocional,emocional_moderado,medio
mis padres discuten mucho ahora,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
quiero desaparecer en mi casa,busca ayuda urgente con un adulto de confianza,emergencia,critico
me siento raro ultimamente,puedes contarme que paso,emocional_leve,bajo
siento miedo sin razon en mi casa,puedes acudir al area psicologica,ansiedad,medio
no tengo ganas de hacer nada ahora,no tienes que pasar por esto solo,emocional_moderado,medio
no tengo ganas de hacer nada ahora,puedes buscar apoyo emocional,emocional_moderado,medio
no tengo ganas de hacer nada ultimamente,puedes buscar apoyo emocional,emocional_moderado,medio
tengo miedo de reprobar hoy,puedes pedir ayuda a tus profesores,estres_academico,medio
tengo miedo de reprobar en el colegio,puedes organizar mejor tu tiempo,estres_academico,medio
mis padres discuten mucho en el colegio,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
hola chatbot hoy,en que puedo ayudarte hoy,saludo,bajo
me siento vacio,seria bueno hablar con el area psicologica,emocional_moderado,medio
tengo muchos examenes ahora,puedes organizar mejor tu tiempo,estres_academico,medio
me siento solo ultimamente,quieres contarme un poco mas,emocional_leve,bajo
me siento muy mal en el colegio,no tienes que pasar por esto solo,emocional_moderado,medio
buenas noches en mi casa,puedes contar conmigo,saludo,bajo
no estoy bien hoy hoy,no estas solo puedes hablar conmigo,emocional_leve,bajo
mis padres discuten mucho ultimamente,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
siento miedo sin razon,puedes acudir al area psicologica,ansiedad,medio
necesito ayuda profesional ultimamente,el area psicologica puede ayudarte,apoyo_psicologico,alto
todo me sale mal hoy,seria bueno hablar con el area psicologica,emocional_moderado,medio
tengo muchas tareas en mi casa,podemos buscar soluciones juntos,estres_academico,medio
quiero apoyo emocional hoy,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
todo me sale mal hoy,seria bueno hablar con el area psicologica,emocional_moderado,medio
quiero apoyo emocional,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
mis padres discuten mucho en mi casa,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
quiero apoyo emocional en mi casa,el area psicologica puede ayudarte,apoyo_psicologico,alto
tengo miedo de reprobar en mi casa,puedes organizar mejor tu tiempo,estres_academico,medio
quiero rendirme ahora,no estas solo puedes recibir apoyo,motivacion,medio
no quiero vivir ahora,es importante hablar inmediatamente con psicologia,emergencia,critico
todo me sale mal hoy,seria bueno hablar con el area psicologica,emocional_moderado,medio
que tal en mi casa,hola estoy aqui para ayudarte,saludo,bajo
no quiero estudiar ultimamente,puedes comenzar con pequeñas metas,motivacion,medio
no quiero hablar con nadie ahora,no tienes que pasar por esto solo,emocional_moderado,medio
no estoy bien hoy en el colegio,hablar puede ayudarte mucho,emocional_leve,bajo
no estoy bien hoy en mi casa,puedes contarme que paso,emocional_leve,bajo
me siento vacio ahora,seria bueno hablar con el area psicologica,emocional_moderado,medio
quiero apoyo emocional en mi casa,el area psicologica puede ayudarte,apoyo_psicologico,alto
tengo problemas en mi casa en mi casa,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
necesito ayuda profesional ahora,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
tengo muchas tareas en mi casa,puedes pedir ayuda a tus profesores,estres_academico,medio
tengo problemas en mi casa,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
no puedo dormir ultimamente,hablar con alguien puede ayudarte,ansiedad,medio
no tengo motivacion hoy,puedes comenzar con pequeñas metas,motivacion,medio
me siento vacio hoy,no tienes que pasar por esto solo,emocional_moderado,medio
quiero hablar con psicologia en mi casa,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
no quiero estudiar ultimamente,puedes comenzar con pequeñas metas,motivacion,medio
no me siento bien en mi familia ultimamente,no tienes que enfrentar esto solo,problemas_familiares,medio
quiero rendirme en mi casa,puedes comenzar con pequeñas metas,motivacion,medio
quiero hablar con psicologia en mi casa,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
todo me sale mal ahora,puedes buscar apoyo emocional,emocional_moderado,medio
me siento nervioso en mi casa,hablar con alguien puede ayudarte,ansiedad,medio
siento miedo sin razon en mi casa,puedes intentar respirar profundamente,ansiedad,medio
tengo muchos examenes ahora,puedes organizar mejor tu tiempo,estres_academico,medio
mis padres discuten mucho ultimamente,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
no tengo ganas de hacer nada en el colegio,seria bueno hablar con el area psicologica,emocional_moderado,medio
me siento vacio ultimamente,no tienes que pasar por esto solo,emocional_moderado,medio
quiero hablar con psicologia ultimamente,el area psicologica puede ayudarte,apoyo_psicologico,alto
no me siento bien en mi familia hoy,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
me siento presionado por el colegio en mi casa,puedes pedir ayuda a tus profesores,estres_academico,medio
me siento desanimado hoy,quieres contarme un poco mas,emocional_leve,bajo
hay conflictos en mi hogar en el colegio,no tienes que enfrentar esto solo,problemas_familiares,medio
quiero apoyo emocional,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
no entiendo mis materias ultimamente,puedes pedir ayuda a tus profesores,estres_academico,medio
tengo muchos examenes en el colegio,puedes pedir ayuda a tus profesores,estres_academico,medio
como estas en el colegio,en que puedo ayudarte hoy,saludo,bajo
no tengo ganas de hacer nada hoy,seria bueno hablar con el area psicologica,emocional_moderado,medio
me siento triste en el colegio,quieres contarme un poco mas,emocional_leve,bajo
quiero hacerme daño ultimamente,busca ayuda urgente con un adulto de confianza,emergencia,critico
tengo muchas tareas ultimamente,podemos buscar soluciones juntos,estres_academico,medio
tengo miedo de reprobar en el colegio,puedes organizar mejor tu tiempo,estres_academico,medio
tengo muchos examenes en mi casa,podemos buscar soluciones juntos,estres_academico,medio
quiero desaparecer en mi casa,busca ayuda urgente con un adulto de confianza,emergencia,critico
hay conflictos en mi hogar ahora,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
no quiero vivir ahora,es importante hablar inmediatamente con psicologia,emergencia,critico
no entiendo mis materias,puedes pedir ayuda a tus profesores,estres_academico,medio
tengo muchas tareas,podemos buscar soluciones juntos,estres_academico,medio
quiero hablar con psicologia en mi casa,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
me preocupo demasiado en el colegio,puedes intentar respirar profundamente,ansiedad,medio
no quiero estudiar en mi casa,puedes comenzar con pequeñas metas,motivacion,medio
no tengo ganas de hacer nada ahora,no tienes que pasar por esto solo,emocional_moderado,medio
no tengo motivacion ultimamente,podemos buscar soluciones juntos,motivacion,medio
mis padres discuten mucho en el colegio,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
hay conflictos en mi hogar en el colegio,no tienes que enfrentar esto solo,problemas_familiares,medio
hay conflictos en mi hogar ahora,no tienes que enfrentar esto solo,problemas_familiares,medio
tengo ansiedad ultimamente,hablar con alguien puede ayudarte,ansiedad,medio
quiero desaparecer en mi casa,es importante hablar inmediatamente con psicologia,emergencia,critico
no quiero hablar con nadie en mi casa,seria bueno hablar con el area psicologica,emocional_moderado,medio
siento miedo sin razon en mi casa,hablar con alguien puede ayudarte,ansiedad,medio
no entiendo mis materias ahora,puedes organizar mejor tu tiempo,estres_academico,medio
no entiendo mis materias hoy,podemos buscar soluciones juntos,estres_academico,medio
me siento vacio hoy,puedes buscar apoyo emocional,emocional_moderado,medio
todo me sale mal en el colegio,puedes buscar apoyo emocional,emocional_moderado,medio
no tengo motivacion,puedes comenzar con pequeñas metas,motivacion,medio
no entiendo mis materias hoy,puedes organizar mejor tu tiempo,estres_academico,medio
necesito ayuda profesional ahora,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
no quiero ir al colegio en el colegio,puedes comenzar con pequeñas metas,motivacion,medio
no quiero vivir en mi casa,busca ayuda urgente con un adulto de confianza,emergencia,critico
todo me sale mal ultimamente,seria bueno hablar con el area psicologica,emocional_moderado,medio
tengo ansiedad ahora,puedes acudir al area psicologica,ansiedad,medio
hola chatbot ultimamente,en que puedo ayudarte hoy,saludo,bajo
quiero apoyo emocional,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
quiero hablar con psicologia en el colegio,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
quiero rendirme hoy,podemos buscar soluciones juntos,motivacion,medio
me siento solo ahora,no estas solo puedes hablar conmigo,emocional_leve,bajo
mis padres discuten mucho hoy,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
quiero hablar con psicologia,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
quiero desaparecer ultimamente,busca ayuda urgente con un adulto de confianza,emergencia,critico
quiero desaparecer en mi casa,es importante hablar inmediatamente con psicologia,emergencia,critico
quiero apoyo emocional ultimamente,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
no estoy bien hoy,quieres contarme un poco mas,emocional_leve,bajo
ando sin animos en mi casa,hablar puede ayudarte mucho,emocional_leve,bajo
me siento solo ultimamente,no estas solo puedes hablar conmigo,emocional_leve,bajo
quiero desaparecer hoy,es importante hablar inmediatamente con psicologia,emergencia,critico
no entiendo mis materias,puedes pedir ayuda a tus profesores,estres_academico,medio
tengo problemas en mi casa hoy,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
que tal ahora,en que puedo ayudarte hoy,saludo,bajo
me siento nervioso hoy,puedes acudir al area psicologica,ansiedad,medio
tengo problemas en mi casa,no tienes que enfrentar esto solo,problemas_familiares,medio
tengo problemas en mi casa en mi casa,no tienes que enfrentar esto solo,problemas_familiares,medio
quiero hacerme daño en el colegio,busca ayuda urgente con un adulto de confianza,emergencia,critico
tengo muchas tareas ahora,puedes pedir ayuda a tus profesores,estres_academico,medio
tengo miedo de reprobar ultimamente,puedes pedir ayuda a tus profesores,estres_academico,medio
hola,hola estoy aqui para ayudarte,saludo,bajo
no estoy bien hoy ultimamente,no estas solo puedes hablar conmigo,emocional_leve,bajo
quiero hacerme daño en el colegio,es importante hablar inmediatamente con psicologia,emergencia,critico
quiero hacerme daño en mi casa,es importante hablar inmediatamente con psicologia,emergencia,critico
tengo ansiedad hoy,puedes acudir al area psicologica,ansiedad,medio
todo me sale mal en el colegio,no tienes que pasar por esto solo,emocional_moderado,medio
no me siento bien en mi familia,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
como estas,en que puedo ayudarte hoy,saludo,bajo
quiero desaparecer ahora,busca ayuda urgente con un adulto de confianza,emergencia,critico
necesito ayuda profesional,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
quiero apoyo emocional hoy,el area psicologica puede ayudarte,apoyo_psicologico,alto
quiero hacerme daño en el colegio,busca ayuda urgente con un adulto de confianza,emergencia,critico
quiero apoyo emocional en mi casa,el area psicologica puede ayudarte,apoyo_psicologico,alto
