id,pregunta,categoria,intencion,emocion_detectada,nivel_alerta,respuesta,recomendacion,pregunta_seguimiento,respuesta_final,tecnica_apoyo,contexto,requiere_derivacion,prioridad_atencion,accion_sistema
11,hola un momento,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, estoy contigo. Empezar hablando ya puede ayudar a ordenar un poco lo que sientes.",Tómate tu tiempo; no necesitas responder rápido.,¿Qué emoción está más fuerte en este momento?,"Hola, estoy contigo. Empezar hablando ya puede ayudar a ordenar un poco lo que sientes.

Recomendación: Tómate tu tiempo; no necesitas responder rápido.

¿Qué emoción está más fuerte en este momento?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
12,hoy hola un momento,saludo,iniciar_conversacion,NEUTRAL,BAJA,Hola. No tienes que explicar todo perfecto; dime con tus palabras qué está pasando.,"Empieza diciendo cómo te sientes ahora mismo, aunque sea con una sola palabra.",¿Qué te gustaría contarme primero?,"Hola. No tienes que explicar todo perfecto; dime con tus palabras qué está pasando.

Recomendación: Empieza diciendo cómo te sientes ahora mismo, aunque sea con una sola palabra.

¿Qué te gustaría contarme primero?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
13,ultimamente hola un momento,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, me alegra que estés aquí. Este espacio es para escucharte con calma.","Puedes contarme si lo que pasa es del colegio, de casa, de amigos o de cómo te sientes.",¿Quieres hablar o prefieres que primero te sugiera una forma de calmarte?,"Hola, me alegra que estés aquí. Este espacio es para escucharte con calma.

Recomendación: Puedes contarme si lo que pasa es del colegio, de casa, de amigos o de cómo te sientes.

¿Quieres hablar o prefieres que primero te sugiera una forma de calmarte?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
14,hola un momento y necesito ayuda,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola. Gracias por escribirme; podemos conversar paso a paso, sin presión.","Intenta ubicar la emoción principal: tristeza, enojo, miedo, ansiedad o cansancio.",¿Cómo te sientes hoy?,"Hola. Gracias por escribirme; podemos conversar paso a paso, sin presión.

Recomendación: Intenta ubicar la emoción principal: tristeza, enojo, miedo, ansiedad o cansancio.

¿Cómo te sientes hoy?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
15,hola un momento puedes ayudarme,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, aquí estoy para acompañarte. Puedes contarme lo que puedas decir en este momento.","Si no sabes por dónde empezar, escribe: hoy me siento... porque...",¿Qué pasó antes de que decidieras escribirme?,"Hola, aquí estoy para acompañarte. Puedes contarme lo que puedas decir en este momento.

Recomendación: Si no sabes por dónde empezar, escribe: hoy me siento... porque...

¿Qué pasó antes de que decidieras escribirme?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
16,hola porque no me siento bien,saludo,iniciar_conversacion,NEUTRAL,BAJA,Hola. Me parece valioso que busques apoyo cuando algo te preocupa.,Tómate tu tiempo; no necesitas responder rápido.,¿Qué emoción está más fuerte en este momento?,"Hola. Me parece valioso que busques apoyo cuando algo te preocupa.

Recomendación: Tómate tu tiempo; no necesitas responder rápido.

¿Qué emoción está más fuerte en este momento?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
17,hoy hola porque no me siento bien,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, estoy contigo. Empezar hablando ya puede ayudar a ordenar un poco lo que sientes.","Empieza diciendo cómo te sientes ahora mismo, aunque sea con una sola palabra.",¿Qué te gustaría contarme primero?,"Hola, estoy contigo. Empezar hablando ya puede ayudar a ordenar un poco lo que sientes.

Recomendación: Empieza diciendo cómo te sientes ahora mismo, aunque sea con una sola palabra.

¿Qué te gustaría contarme primero?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
18,ultimamente hola porque no me siento bien,saludo,iniciar_conversacion,NEUTRAL,BAJA,Hola. No tienes que explicar todo perfecto; dime con tus palabras qué está pasando.,Respira un momento y escribe lo primero que te viene a la mente.,"¿Esto tiene que ver con el colegio, la familia, amigos o algo personal?","Hola. No tienes que explicar todo perfecto; dime con tus palabras qué está pasando.

Recomendación: Respira un momento y escribe lo primero que te viene a la mente.

¿Esto tiene que ver con el colegio, la familia, amigos o algo personal?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
19,hola porque no me siento bien y necesito ayuda,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, me alegra que estés aquí. Este espacio es para escucharte con calma.","Intenta ubicar la emoción principal: tristeza, enojo, miedo, ansiedad o cansancio.",¿Cómo te sientes hoy?,"Hola, me alegra que estés aquí. Este espacio es para escucharte con calma.

Recomendación: Intenta ubicar la emoción principal: tristeza, enojo, miedo, ansiedad o cansancio.

¿Cómo te sientes hoy?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
20,hola porque no me siento bien puedes ayudarme,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola. Gracias por escribirme; podemos conversar paso a paso, sin presión.","Si no sabes por dónde empezar, escribe: hoy me siento... porque...",¿Qué pasó antes de que decidieras escribirme?,"Hola. Gracias por escribirme; podemos conversar paso a paso, sin presión.

Recomendación: Si no sabes por dónde empezar, escribe: hoy me siento... porque...

¿Qué pasó antes de que decidieras escribirme?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
21,hola antes de entrar a clases,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, aquí estoy para acompañarte. Puedes contarme lo que puedas decir en este momento.",Tómate tu tiempo; no necesitas responder rápido.,¿Quieres hablar o prefieres que primero te sugiera una forma de calmarte?,"Hola, aquí estoy para acompañarte. Puedes contarme lo que puedas decir en este momento.

Recomendación: Tómate tu tiempo; no necesitas responder rápido.

¿Quieres hablar o prefieres que primero te sugiera una forma de calmarte?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
22,hoy hola antes de entrar a clases,saludo,iniciar_conversacion,NEUTRAL,BAJA,Hola. Me parece valioso que busques apoyo cuando algo te preocupa.,"Empieza diciendo cómo te sientes ahora mismo, aunque sea con una sola palabra.",¿Qué te gustaría contarme primero?,"Hola. Me parece valioso que busques apoyo cuando algo te preocupa.

Recomendación: Empieza diciendo cómo te sientes ahora mismo, aunque sea con una sola palabra.

¿Qué te gustaría contarme primero?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
23,ultimamente hola antes de entrar a clases,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, estoy contigo. Empezar hablando ya puede ayudar a ordenar un poco lo que sientes.",Respira un momento y escribe lo primero que te viene a la mente.,"¿Esto tiene que ver con el colegio, la familia, amigos o algo personal?","Hola, estoy contigo. Empezar hablando ya puede ayudar a ordenar un poco lo que sientes.

Recomendación: Respira un momento y escribe lo primero que te viene a la mente.

¿Esto tiene que ver con el colegio, la familia, amigos o algo personal?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
24,hola antes de entrar a clases y necesito ayuda,saludo,iniciar_conversacion,NEUTRAL,BAJA,Hola. No tienes que explicar todo perfecto; dime con tus palabras qué está pasando.,"Puedes contarme si lo que pasa es del colegio, de casa, de amigos o de cómo te sientes.",¿Qué emoción está más fuerte en este momento?,"Hola. No tienes que explicar todo perfecto; dime con tus palabras qué está pasando.

Recomendación: Puedes contarme si lo que pasa es del colegio, de casa, de amigos o de cómo te sientes.

¿Qué emoción está más fuerte en este momento?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
25,hola antes de entrar a clases puedes ayudarme,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, me alegra que estés aquí. Este espacio es para escucharte con calma.","Si no sabes por dónde empezar, escribe: hoy me siento... porque...",¿Qué pasó antes de que decidieras escribirme?,"Hola, me alegra que estés aquí. Este espacio es para escucharte con calma.

Recomendación: Si no sabes por dónde empezar, escribe: hoy me siento... porque...

¿Qué pasó antes de que decidieras escribirme?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
26,hola sobre algo que me pasa,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola. Gracias por escribirme; podemos conversar paso a paso, sin presión.",Tómate tu tiempo; no necesitas responder rápido.,¿Quieres hablar o prefieres que primero te sugiera una forma de calmarte?,"Hola. Gracias por escribirme; podemos conversar paso a paso, sin presión.

Recomendación: Tómate tu tiempo; no necesitas responder rápido.

¿Quieres hablar o prefieres que primero te sugiera una forma de calmarte?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
27,hoy hola sobre algo que me pasa,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, aquí estoy para acompañarte. Puedes contarme lo que puedas decir en este momento.","Empieza diciendo cómo te sientes ahora mismo, aunque sea con una sola palabra.",¿Cómo te sientes hoy?,"Hola, aquí estoy para acompañarte. Puedes contarme lo que puedas decir en este momento.

Recomendación: Empieza diciendo cómo te sientes ahora mismo, aunque sea con una sola palabra.

¿Cómo te sientes hoy?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
28,ultimamente hola sobre algo que me pasa,saludo,iniciar_conversacion,NEUTRAL,BAJA,Hola. Me parece valioso que busques apoyo cuando algo te preocupa.,Respira un momento y escribe lo primero que te viene a la mente.,"¿Esto tiene que ver con el colegio, la familia, amigos o algo personal?","Hola. Me parece valioso que busques apoyo cuando algo te preocupa.

Recomendación: Respira un momento y escribe lo primero que te viene a la mente.

¿Esto tiene que ver con el colegio, la familia, amigos o algo personal?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
29,hola sobre algo que me pasa y necesito ayuda,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, estoy contigo. Empezar hablando ya puede ayudar a ordenar un poco lo que sientes.","Puedes contarme si lo que pasa es del colegio, de casa, de amigos o de cómo te sientes.",¿Qué emoción está más fuerte en este momento?,"Hola, estoy contigo. Empezar hablando ya puede ayudar a ordenar un poco lo que sientes.

Recomendación: Puedes contarme si lo que pasa es del colegio, de casa, de amigos o de cómo te sientes.

¿Qué emoción está más fuerte en este momento?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
30,hola sobre algo que me pasa puedes ayudarme,saludo,iniciar_conversacion,NEUTRAL,BAJA,Hola. No tienes que explicar todo perfecto; dime con tus palabras qué está pasando.,"Intenta ubicar la emoción principal: tristeza, enojo, miedo, ansiedad o cansancio.",¿Qué te gustaría contarme primero?,"Hola. No tienes que explicar todo perfecto; dime con tus palabras qué está pasando.

Recomendación: Intenta ubicar la emoción principal: tristeza, enojo, miedo, ansiedad o cansancio.

¿Qué te gustaría contarme primero?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
31,buenos dias,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, me alegra que estés aquí. Este espacio es para escucharte con calma.",Tómate tu tiempo; no necesitas responder rápido.,¿Quieres hablar o prefieres que primero te sugiera una forma de calmarte?,"Hola, me alegra que estés aquí. Este espacio es para escucharte con calma.

Recomendación: Tómate tu tiempo; no necesitas responder rápido.

¿Quieres hablar o prefieres que primero te sugiera una forma de calmarte?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
32,hoy buenos dias,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola. Gracias por escribirme; podemos conversar paso a paso, sin presión.","Empieza diciendo cómo te sientes ahora mismo, aunque sea con una sola palabra.",¿Cómo te sientes hoy?,"Hola. Gracias por escribirme; podemos conversar paso a paso, sin presión.

Recomendación: Empieza diciendo cómo te sientes ahora mismo, aunque sea con una sola palabra.

¿Cómo te sientes hoy?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
33,ultimamente buenos dias,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, aquí estoy para acompañarte. Puedes contarme lo que puedas decir en este momento.",Respira un momento y escribe lo primero que te viene a la mente.,¿Qué pasó antes de que decidieras escribirme?,"Hola, aquí estoy para acompañarte. Puedes contarme lo que puedas decir en este momento.

Recomendación: Respira un momento y escribe lo primero que te viene a la mente.

¿Qué pasó antes de que decidieras escribirme?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
34,buenos dias y necesito ayuda,saludo,iniciar_conversacion,NEUTRAL,BAJA,Hola. Me parece valioso que busques apoyo cuando algo te preocupa.,"Puedes contarme si lo que pasa es del colegio, de casa, de amigos o de cómo te sientes.",¿Qué emoción está más fuerte en este momento?,"Hola. Me parece valioso que busques apoyo cuando algo te preocupa.

Recomendación: Puedes contarme si lo que pasa es del colegio, de casa, de amigos o de cómo te sientes.

¿Qué emoción está más fuerte en este momento?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
35,buenos dias puedes ayudarme,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, estoy contigo. Empezar hablando ya puede ayudar a ordenar un poco lo que sientes.","Intenta ubicar la emoción principal: tristeza, enojo, miedo, ansiedad o cansancio.",¿Qué te gustaría contarme primero?,"Hola, estoy contigo. Empezar hablando ya puede ayudar a ordenar un poco lo que sientes.

Recomendación: Intenta ubicar la emoción principal: tristeza, enojo, miedo, ansiedad o cansancio.

¿Qué te gustaría contarme primero?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
36,buenos dias por favor,saludo,iniciar_conversacion,NEUTRAL,BAJA,Hola. No tienes que explicar todo perfecto; dime con tus palabras qué está pasando.,"Si no sabes por dónde empezar, escribe: hoy me siento... porque...","¿Esto tiene que ver con el colegio, la familia, amigos o algo personal?","Hola. No tienes que explicar todo perfecto; dime con tus palabras qué está pasando.

Recomendación: Si no sabes por dónde empezar, escribe: hoy me siento... porque...

¿Esto tiene que ver con el colegio, la familia, amigos o algo personal?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
37,hoy buenos dias por favor,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, me alegra que estés aquí. Este espacio es para escucharte con calma.","Empieza diciendo cómo te sientes ahora mismo, aunque sea con una sola palabra.",¿Cómo te sientes hoy?,"Hola, me alegra que estés aquí. Este espacio es para escucharte con calma.

Recomendación: Empieza diciendo cómo te sientes ahora mismo, aunque sea con una sola palabra.

¿Cómo te sientes hoy?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
38,ultimamente buenos dias por favor,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola. Gracias por escribirme; podemos conversar paso a paso, sin presión.",Respira un momento y escribe lo primero que te viene a la mente.,¿Qué pasó antes de que decidieras escribirme?,"Hola. Gracias por escribirme; podemos conversar paso a paso, sin presión.

Recomendación: Respira un momento y escribe lo primero que te viene a la mente.

¿Qué pasó antes de que decidieras escribirme?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
39,buenos dias por favor y necesito ayuda,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, aquí estoy para acompañarte. Puedes contarme lo que puedas decir en este momento.","Puedes contarme si lo que pasa es del colegio, de casa, de amigos o de cómo te sientes.",¿Quieres hablar o prefieres que primero te sugiera una forma de calmarte?,"Hola, aquí estoy para acompañarte. Puedes contarme lo que puedas decir en este momento.

Recomendación: Puedes contarme si lo que pasa es del colegio, de casa, de amigos o de cómo te sientes.

¿Quieres hablar o prefieres que primero te sugiera una forma de calmarte?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
40,buenos dias por favor puedes ayudarme,saludo,iniciar_conversacion,NEUTRAL,BAJA,Hola. Me parece valioso que busques apoyo cuando algo te preocupa.,"Intenta ubicar la emoción principal: tristeza, enojo, miedo, ansiedad o cansancio.",¿Qué te gustaría contarme primero?,"Hola. Me parece valioso que busques apoyo cuando algo te preocupa.

Recomendación: Intenta ubicar la emoción principal: tristeza, enojo, miedo, ansiedad o cansancio.

¿Qué te gustaría contarme primero?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
41,buenos dias un momento,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, estoy contigo. Empezar hablando ya puede ayudar a ordenar un poco lo que sientes.","Si no sabes por dónde empezar, escribe: hoy me siento... porque...","¿Esto tiene que ver con el colegio, la familia, amigos o algo personal?","Hola, estoy contigo. Empezar hablando ya puede ayudar a ordenar un poco lo que sientes.

Recomendación: Si no sabes por dónde empezar, escribe: hoy me siento... porque...

¿Esto tiene que ver con el colegio, la familia, amigos o algo personal?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
42,hoy buenos dias un momento,saludo,iniciar_conversacion,NEUTRAL,BAJA,Hola. No tienes que explicar todo perfecto; dime con tus palabras qué está pasando.,Tómate tu tiempo; no necesitas responder rápido.,¿Qué emoción está más fuerte en este momento?,"Hola. No tienes que explicar todo perfecto; dime con tus palabras qué está pasando.

Recomendación: Tómate tu tiempo; no necesitas responder rápido.

¿Qué emoción está más fuerte en este momento?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
43,ultimamente buenos dias un momento,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, me alegra que estés aquí. Este espacio es para escucharte con calma.",Respira un momento y escribe lo primero que te viene a la mente.,¿Qué pasó antes de que decidieras escribirme?,"Hola, me alegra que estés aquí. Este espacio es para escucharte con calma.

Recomendación: Respira un momento y escribe lo primero que te viene a la mente.

¿Qué pasó antes de que decidieras escribirme?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
44,buenos dias un momento y necesito ayuda,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola. Gracias por escribirme; podemos conversar paso a paso, sin presión.","Puedes contarme si lo que pasa es del colegio, de casa, de amigos o de cómo te sientes.",¿Quieres hablar o prefieres que primero te sugiera una forma de calmarte?,"Hola. Gracias por escribirme; podemos conversar paso a paso, sin presión.

Recomendación: Puedes contarme si lo que pasa es del colegio, de casa, de amigos o de cómo te sientes.

¿Quieres hablar o prefieres que primero te sugiera una forma de calmarte?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
45,buenos dias un momento puedes ayudarme,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, aquí estoy para acompañarte. Puedes contarme lo que puedas decir en este momento.","Intenta ubicar la emoción principal: tristeza, enojo, miedo, ansiedad o cansancio.",¿Cómo te sientes hoy?,"Hola, aquí estoy para acompañarte. Puedes contarme lo que puedas decir en este momento.

Recomendación: Intenta ubicar la emoción principal: tristeza, enojo, miedo, ansiedad o cansancio.

¿Cómo te sientes hoy?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
46,buenos dias porque no me siento bien,saludo,iniciar_conversacion,NEUTRAL,BAJA,Hola. Me parece valioso que busques apoyo cuando algo te preocupa.,"Si no sabes por dónde empezar, escribe: hoy me siento... porque...","¿Esto tiene que ver con el colegio, la familia, amigos o algo personal?","Hola. Me parece valioso que busques apoyo cuando algo te preocupa.

Recomendación: Si no sabes por dónde empezar, escribe: hoy me siento... porque...

¿Esto tiene que ver con el colegio, la familia, amigos o algo personal?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
47,hoy buenos dias porque no me siento bien,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, estoy contigo. Empezar hablando ya puede ayudar a ordenar un poco lo que sientes.",Tómate tu tiempo; no necesitas responder rápido.,¿Qué emoción está más fuerte en este momento?,"Hola, estoy contigo. Empezar hablando ya puede ayudar a ordenar un poco lo que sientes.

Recomendación: Tómate tu tiempo; no necesitas responder rápido.

¿Qué emoción está más fuerte en este momento?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
48,ultimamente buenos dias porque no me siento bien,saludo,iniciar_conversacion,NEUTRAL,BAJA,Hola. No tienes que explicar todo perfecto; dime con tus palabras qué está pasando.,"Empieza diciendo cómo te sientes ahora mismo, aunque sea con una sola palabra.",¿Qué te gustaría contarme primero?,"Hola. No tienes que explicar todo perfecto; dime con tus palabras qué está pasando.

Recomendación: Empieza diciendo cómo te sientes ahora mismo, aunque sea con una sola palabra.

¿Qué te gustaría contarme primero?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
49,buenos dias porque no me siento bien y necesito ayuda,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, me alegra que estés aquí. Este espacio es para escucharte con calma.","Puedes contarme si lo que pasa es del colegio, de casa, de amigos o de cómo te sientes.",¿Quieres hablar o prefieres que primero te sugiera una forma de calmarte?,"Hola, me alegra que estés aquí. Este espacio es para escucharte con calma.

Recomendación: Puedes contarme si lo que pasa es del colegio, de casa, de amigos o de cómo te sientes.

¿Quieres hablar o prefieres que primero te sugiera una forma de calmarte?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
50,buenos dias porque no me siento bien puedes ayudarme,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola. Gracias por escribirme; podemos conversar paso a paso, sin presión.","Intenta ubicar la emoción principal: tristeza, enojo, miedo, ansiedad o cansancio.",¿Cómo te sientes hoy?,"Hola. Gracias por escribirme; podemos conversar paso a paso, sin presión.

Recomendación: Intenta ubicar la emoción principal: tristeza, enojo, miedo, ansiedad o cansancio.

¿Cómo te sientes hoy?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
51,buenos dias antes de entrar a clases,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, aquí estoy para acompañarte. Puedes contarme lo que puedas decir en este momento.","Si no sabes por dónde empezar, escribe: hoy me siento... porque...",¿Qué pasó antes de que decidieras escribirme?,"Hola, aquí estoy para acompañarte. Puedes contarme lo que puedas decir en este momento.

Recomendación: Si no sabes por dónde empezar, escribe: hoy me siento... porque...

¿Qué pasó antes de que decidieras escribirme?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
52,hoy buenos dias antes de entrar a clases,saludo,iniciar_conversacion,NEUTRAL,BAJA,Hola. Me parece valioso que busques apoyo cuando algo te preocupa.,Tómate tu tiempo; no necesitas responder rápido.,¿Qué emoción está más fuerte en este momento?,"Hola. Me parece valioso que busques apoyo cuando algo te preocupa.

Recomendación: Tómate tu tiempo; no necesitas responder rápido.

¿Qué emoción está más fuerte en este momento?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
53,ultimamente buenos dias antes de entrar a clases,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, estoy contigo. Empezar hablando ya puede ayudar a ordenar un poco lo que sientes.","Empieza diciendo cómo te sientes ahora mismo, aunque sea con una sola palabra.",¿Qué te gustaría contarme primero?,"Hola, estoy contigo. Empezar hablando ya puede ayudar a ordenar un poco lo que sientes.

Recomendación: Empieza diciendo cómo te sientes ahora mismo, aunque sea con una sola palabra.

¿Qué te gustaría contarme primero?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
